route_id,service_id,trip_id,trip_headsign,direction_id
235,2,T0124,Atlantis,0
235,0,T0125,Pella,1
235,1,T0126,Pella,1
235,2,T0127,Pella,1

236,0,T0128,Atlantis,0
236,1,T0129,Atlantis,0
236,2,T0130,Atlantis,0
236,0,T0131,Montezuma,1
236,1,T0132,Montezuma,1
236,2,T0133,Montezuma,1

237,0,T0134,Atlantis,0
237,1,T0135,Atlantis,0
237,2,T0136,Atlantis,0
237,0,T0137,Swawel,1
237,1,T0138,Swawel,1
237,2,T0139,Swawel,1

244,0,T0140,Atlantis,0
244,1,T0141,Atlantis,0
244,2,T0142,Atlantis,0
244,0,T0143,Avondale,1
244,1,T0144,Avondale,1
244,2,T0145,Avondale,1

245,0,T0146,Atlantis,0
245,1,T0147,Atlantis,0
245,2,T0148,Atlantis,0
245,0,T0149,Lisboa,1
245,1,T0150,Lisboa,1
245,2,T0151,Lisboa,1

246,0,T0152,Atlantis,0
246,1,T0153,Atlantis,0
246,2,T0154,Atlantis,0
246,0,T0155,Frans,1
246,1,T0156,Frans,1
246,2,T0157,Frans,1

260,0,T0158,Victoria,0
260,1,T0159,Victoria,0
260,2,T0160,Victoria,0
260,0,T0161,Milnerton Lighthouse,1
260,1,T0162,Milnerton Lighthouse,1
260,2,T0163,Milnerton Lighthouse,1

261,0,T0164,Adderley,0
261,1,T0165,Adderley,0
261,2,T0166,Adderley,0
261,0,T0167,Century City Rail,1
261,1,T0168,Century City Rail,1
261,2,T0169,Century City Rail,1

262,0,T0170,Victoria,0
262,1,T0171,Victoria,0
262,2,T0172,Victoria,0
262,0,T0173,Milnerton Lighthouse,1
262,1,T0174,Milnerton Lighthouse,1
262,2,T0175,Milnerton Lighthouse,1

D01,0,T0176,Civic Centre,0
D01,1,T0177,Civic Centre,0
D01,2,T0178,Civic Centre,0
D01,0,T0179,Kuyasa,1
D01,1,T0180,Kuyasa,1
D01,2,T0181,Kuyasa,1

D02,0,T0182,Civic Centre,0
D02,1,T0183,Civic Centre,0
D02,2,T0184,Civic Centre,0
D02,0,T0185,Khayelitsha West,1
D02,1,T0186,Khayelitsha West,1
D02,2,T0187,Khayelitsha West,1

D03,0,T0188,Civic Centre,0
D03,0,T0189,Mitchells Plain,1

D04,0,T0190,Civic Centre,0
D04,1,T0191,Civic Centre,0
D04,2,T0192,Civic Centre,0
D04,0,T0193,Kapteinsklip,1
D04,1,T0194,Kapteinsklip,1
D04,2,T0195,Kapteinsklip,1

D05,0,T0196,Waterfront,0
D05,0,T0197,Stables Turnaround,1

D08,0,T0198,Century City,0
D08,1,T0199,Century City,0
D08,2,T0200,Century City,0
D08,0,T0201,Stables Turnaround,1
D08,1,T0202,Stables Turnaround,1

T01,0,T0203,Stables Turnaround,0
T01,1,T0204,Stables Turnaround,0
T01,2,T0205,Stables Turnaround,0
T01,0,T0206,Waterfront,1
T01,1,T0207,Waterfront,1
T01,2,T0208,Waterfront,1

T01X,0,T0209,Stables Turnaround,0
T01X,0,T0210,Waterfront,1

T02,0,T0211,Civic Centre,0
T02,1,T0212,Civic Centre,0
T02,0,T0213,Atlantis,1
T02,1,T0214,Atlantis,1

T02X,0,T0215,Queens Beach,0
T02X,0,T0216,Atlantis,1

T03,0,T0217,Atlantis,0
T03,1,T0218,Atlantis,0
T03,2,T0219,Atlantis,0
T03,0,T0220,Century City,1
T03,1,T0221,Century City,1
T03,2,T0222,Century City,1

T04,0,T0223,Century City,0
T04,1,T0224,Century City,0
T04,2,T0225,Century City,0
T04,0,T0226,Stables Turnaround,1
T04,1,T0227,Stables Turnaround,1
T04,2,T0228,Stables Turnaround,1
